rank,team,elo
1,TB,1733.6847011308791
2,KC,1700.740449662372
3,BUF,1693.5052630892321
4,GB,1686.5520602064078
5,NO,1665.0040138696736
6,BAL,1651.170818367879
7,LAR,1600.115861912114
8,SEA,1591.188040057161
9,IND,1584.6882915010851
10,TEN,1572.5081856389006
11,MIA,1540.7708975534554
12,CLE,1540.015848653846
13,PIT,1532.1057508794981
14,NE,1494.0060015204651
15,LAC,1487.9295014865324
16,CHI,1486.7694069814154
17,MIN,1484.32398396389
18,SF,1478.538040441807
19,ARI,1472.181438644928
20,ATL,1469.248186347426
21,OAK,1452.1939349001125
22,WSH,1437.3592719438232
23,DAL,1421.2075270375828
24,DEN,1417.0560524091343
25,CAR,1397.3145043766137
26,HOU,1391.5805355921098
27,PHI,1383.329849885658
28,NYG,1380.6873520071981
29,CIN,1359.6324222054884
30,DET,1328.5257364709785
31,NYJ,1315.1148479565059
32,JAX,1250.9512233063256
